都道府県ID,都道府県名,健康保険料率,
01,北海道,0.1039,
02,青森県,0.1003,
03,岩手県,0.0991,
04,宮城県,0.1018,
05,秋田県,0.1027,
06,山形県,0.0999,
07,福島県,0.0965,
08,茨城県,0.0977,
09,栃木県,0.0990,
10,群馬県,0.0973,
11,埼玉県,0.0971,
12,千葉県,0.0976,
13,東京都,0.0981,
14,神奈川県,0.0985,
15,新潟県,0.0951,
16,富山県,0.0961,
17,石川県,0.0989,
18,福井県,0.0996,
19,山梨県,0.0966,
20,長野県,0.0967,
21,岐阜県,0.0982,
22,静岡県,0.0975,
23,愛知県,0.0993,
24,三重県,0.0991,
25,滋賀県,0.0983,
26,京都府,0.0995,
27,大阪府,0.1022,
28,兵庫県,0.1013,
29,奈良県,0.0996,
30,和歌山県,0.1018,
31,鳥取県,0.0994,
32,島根県,0.1035,
33,岡山県,0.1025,
34,広島県,0.1009,
35,山口県,0.1015,
36,徳島県,0.1043,
37,香川県,0.1034,
38,愛媛県,0.1026,
39,高知県,0.1030,
40,福岡県,0.1021,
41,佐賀県,0.1100,
42,長崎県,0.1047,
43,熊本県,0.1045,
44,大分県,0.1052,
45,宮崎県,0.1014,
46,鹿児島県,0.1065,
47,沖縄県,0.1009,
